#,CS,VBNL-N,VDD33_N,WE,ADDR[9],ADDR[8],ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],VDD,VSS,SA
380,1,4,4,1,0,1,0,1,1,1,1,0,1,1,1.1,0,0
382,1,4,4,1,0,1,0,1,1,1,1,1,0,1,1.1,0,0
384,1,4,4,1,0,1,0,1,1,1,1,1,1,1,1.1,0,0
385,1,4,4,1,0,1,1,0,0,0,0,0,0,0,1.1,0,0
387,1,4,4,1,0,1,1,0,0,0,0,0,1,0,1.1,0,0
389,1,4,4,1,0,1,1,0,0,0,0,1,0,0,1.1,0,0
391,1,4,4,1,0,1,1,0,0,0,0,1,1,0,1.1,0,0
393,1,4,4,1,0,1,1,0,0,0,1,0,0,0,1.1,0,0
395,1,4,4,1,0,1,1,0,0,0,1,0,1,0,1.1,0,0
397,1,4,4,1,0,1,1,0,0,0,1,1,0,0,1.1,0,0
399,1,4,4,1,0,1,1,0,0,0,1,1,1,0,1.1,0,0
401,1,4,4,1,0,1,1,0,0,1,0,0,0,0,1.1,0,0
403,1,4,4,1,0,1,1,0,0,1,0,0,1,0,1.1,0,0
405,1,4,4,1,0,1,1,0,0,1,0,1,0,0,1.1,0,0
407,1,4,4,1,0,1,1,0,0,1,0,1,1,0,1.1,0,0
409,1,4,4,1,0,1,1,0,0,1,1,0,0,0,1.1,0,0
411,1,4,4,1,0,1,1,0,0,1,1,0,1,0,1.1,0,0
413,1,4,4,1,0,1,1,0,0,1,1,1,0,0,1.1,0,0
415,1,4,4,1,0,1,1,0,0,1,1,1,1,0,1.1,0,0
418,1,4,4,1,0,1,1,0,1,0,0,0,0,1,1.1,0,0
420,1,4,4,1,0,1,1,0,1,0,0,0,1,1,1.1,0,0
422,1,4,4,1,0,1,1,0,1,0,0,1,0,1,1.1,0,0
424,1,4,4,1,0,1,1,0,1,0,0,1,1,1,1.1,0,0
426,1,4,4,1,0,1,1,0,1,0,1,0,0,1,1.1,0,0
428,1,4,4,1,0,1,1,0,1,0,1,0,1,1,1.1,0,0
430,1,4,4,1,0,1,1,0,1,0,1,1,0,1,1.1,0,0
432,1,4,4,1,0,1,1,0,1,0,1,1,1,1,1.1,0,0
434,1,4,4,1,0,1,1,0,1,1,0,0,0,1,1.1,0,0
436,1,4,4,1,0,1,1,0,1,1,0,0,1,1,1.1,0,0
438,1,4,4,1,0,1,1,0,1,1,0,1,0,1,1.1,0,0
440,1,4,4,1,0,1,1,0,1,1,0,1,1,1,1.1,0,0
442,1,4,4,1,0,1,1,0,1,1,1,0,0,1,1.1,0,0
444,1,4,4,1,0,1,1,0,1,1,1,0,1,1,1.1,0,0
446,1,4,4,1,0,1,1,0,1,1,1,1,0,1,1.1,0,0
448,1,4,4,1,0,1,1,0,1,1,1,1,1,1,1.1,0,0
449,1,4,4,1,0,1,1,1,0,0,0,0,0,0,1.1,0,0
451,1,4,4,1,0,1,1,1,0,0,0,0,1,0,1.1,0,0
453,1,4,4,1,0,1,1,1,0,0,0,1,0,0,1.1,0,0
455,1,4,4,1,0,1,1,1,0,0,0,1,1,0,1.1,0,0
457,1,4,4,1,0,1,1,1,0,0,1,0,0,0,1.1,0,0
459,1,4,4,1,0,1,1,1,0,0,1,0,1,0,1.1,0,0
461,1,4,4,1,0,1,1,1,0,0,1,1,0,0,1.1,0,0
463,1,4,4,1,0,1,1,1,0,0,1,1,1,0,1.1,0,0
465,1,4,4,1,0,1,1,1,0,1,0,0,0,0,1.1,0,0
467,1,4,4,1,0,1,1,1,0,1,0,0,1,0,1.1,0,0
469,1,4,4,1,0,1,1,1,0,1,0,1,0,0,1.1,0,0
471,1,4,4,1,0,1,1,1,0,1,0,1,1,0,1.1,0,0
473,1,4,4,1,0,1,1,1,0,1,1,0,0,0,1.1,0,0
475,1,4,4,1,0,1,1,1,0,1,1,0,1,0,1.1,0,0
477,1,4,4,1,0,1,1,1,0,1,1,1,0,0,1.1,0,0
